Season,game_id,game_date,home_team,away_team,Team,GF,GA,SF,SA,SF.,SF_5v5,SA_5v5,SF_5v5.,BlkF,BlkA,GF_5v5,GA_5v5,GF_pp,GA_pp,GF_sh,GA_sh,FOW,FOL,periods,Sh.,Sv.,PDO
2017,18507478,2018-01-27,CTW,MET,MET,3,2,31,21,0.6,23,17,0.57,8,8,1,2,0,0,2,0,25,32,4,0.1,0.9,1
2017,18507485,2018-03-10,CTW,BUF,CTW,1,4,32,18,0.64,22,12,0.65,7,8,1,2,0,1,0,1,27,25,3,0.03,0.78,0.81
2017,18507485,2018-03-10,CTW,BUF,BUF,4,1,18,32,0.36,12,22,0.35,8,7,2,1,1,0,1,0,25,27,3,0.22,0.97,1.19
2017,18507490,2018-01-14,CTW,BUF,CTW,3,4,24,20,0.55,14,13,0.52,9,7,2,3,1,0,0,1,29,32,3,0.12,0.8,0.92
2017,18507490,2018-01-14,CTW,BUF,BUF,4,3,20,24,0.45,13,14,0.48,7,9,3,2,0,1,1,0,32,29,3,0.2,0.88,1.08
2017,18507502,2017-10-28,MET,BOS,MET,4,1,28,30,0.48,28,26,0.52,9,10,2,1,0,0,2,0,25,31,3,0.14,0.97,1.1099999999999999
2017,18507502,2017-10-28,MET,BOS,BOS,1,4,30,28,0.52,26,28,0.48,10,9,1,2,0,0,0,2,31,25,3,0.03,0.86,0.89
2017,18507506,2017-12-03,MET,CTW,MET,4,0,21,25,0.46,19,22,0.46,12,10,3,0,1,0,0,0,26,28,3,0.19,1,1.19
2017,18507506,2017-12-03,MET,CTW,CTW,0,4,25,21,0.54,22,19,0.54,10,12,0,3,0,1,0,0,28,26,3,0,0.81,0.81
2017,18507511,2017-12-10,MET,BUF,MET,4,2,36,13,0.73,27,12,0.69,3,10,2,2,1,0,0,0,31,23,3,0.11,0.85,0.96
2017,18507511,2017-12-10,MET,BUF,BUF,2,4,13,36,0.27,12,27,0.31,10,3,2,2,0,1,0,0,23,31,3,0.15,0.89,1.04
2017,18507514,2018-01-07,MET,CTW,MET,6,1,33,28,0.54,22,19,0.54,4,3,5,0,1,0,0,1,19,31,3,0.18,0.96,1.14
2017,18507514,2018-01-07,MET,CTW,CTW,1,6,28,33,0.46,19,22,0.46,3,4,0,5,0,1,1,0,31,19,3,0.04,0.82,0.86
2017,18507517,2018-01-21,MET,BOS,MET,2,1,26,19,0.58,16,10,0.62,9,10,2,0,0,0,0,1,19,32,3,0.08,0.95,1.03
2017,18507517,2018-01-21,MET,BOS,BOS,1,2,19,26,0.42,10,16,0.38,10,9,0,2,0,0,1,0,32,19,3,0.05,0.92,0.9700000000000001
2017,18507523,2018-02-18,MET,CTW,MET,4,2,20,23,0.47,14,16,0.47,8,16,2,1,2,0,0,1,34,22,3,0.2,0.91,1.11
2017,18507523,2018-02-18,MET,CTW,CTW,2,4,23,20,0.53,16,14,0.53,16,8,1,2,0,2,1,0,22,34,3,0.09,0.8,0.89
2017,18507526,2018-03-04,MET,BUF,MET,1,2,35,23,0.6,30,20,0.6,12,13,1,2,0,0,0,0,27,22,3,0.03,0.91,0.9400000000000001
2017,18507526,2018-03-04,MET,BUF,BUF,2,1,23,35,0.4,20,30,0.4,13,12,2,1,0,0,0,0,22,27,3,0.09,0.97,1.06
2017,18507534,2017-11-04,BUF,MET,BUF,2,6,16,31,0.34,12,9,0.57,9,3,1,2,1,0,0,4,26,32,3,0.12,0.81,0.93
2017,18507534,2017-11-04,BUF,MET,MET,6,2,31,16,0.66,9,12,0.43,3,9,2,1,0,1,4,0,32,26,3,0.19,0.88,1.07
2017,20847967,2018-03-03,BOS,CTW,BOS,3,2,12,26,0.32,12,24,0.33,12,8,3,2,0,0,0,0,30,27,3,0.25,0.92,1.17
2017,20847967,2018-03-03,BOS,CTW,CTW,2,3,26,12,0.68,24,12,0.67,8,12,2,3,0,0,0,0,27,30,3,0.08,0.75,0.83
