Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
Brittany Ott,BOS,G,18507433,2017-11-04,BOS,CTW,0,0,0,0,0,1.2200000000000002,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,23,2
Sydney Rossman,CTW,G,18507433,2017-11-04,BOS,CTW,0,0,0,0,0,2.9200000000000004,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,28,1
Alyssa Gagliardi,BOS,D,18507435,2017-12-03,BOS,BUF,2,1,0,3,3,2.6900000000000004,2,0,0,NA,1,1,0,0,0,0,0,0,2,0,0,0,0
Colleen  Murphy,BUF,D,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,-0.06000000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,1,0,0,0
Jacquie Greco,BUF,D,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
Jordyn Burns,BUF,D,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,0
Lexi Bender,BOS,D,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,-0.06000000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,1,0,0,0
Marissa Gedman,BOS,D,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,2,0,0,0
Paige Harrington,BOS,D,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Paige Harrington,BUF,D,18507435,2017-12-03,BOS,BUF,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarah  Edney,BUF,D,18507435,2017-12-03,BOS,BUF,1,0,0,1,1,0.9400000000000001,1,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,0,0
